Metabolite ID,Metabolites Names
dpcoa[e],Dephospho-CoA
dtmp[e],dTMP; dTMP(2-)
urea[e],Urea
12dgr180[e],"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
4hphac[e],4-hydroxyphenylacetate
HC00319[e],Malonate
adn[e],Adenosine
ala_D[e],D-alanine
chor[e],chorismate
cynt[e],Cyanate
etha[e],etha[c]
fecrm[e],Ferrichrome
galct_D[e],D-Galactarate
glcr[e],D-glucarate(2-)
glyclt[e],glycolate
ncam[e],Nicotinamide
ocdcea[e],octadecenoate (n-C18:1)
phpyr[e],keto-phenylpyruvate
ser_D[e],D-serine
oxa[e],oxalate(2-)
7dhcdchol[e],7-Dehydrochenodeoxycholate
7ocholate[e],"3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate"
C02528[e],chenodeoxycholate
cholate[e],Cholate
4hbz[e],4-hydroxybenzoate
acnam[e],N-acetylneuraminate
pppn[e],Phenylpropanoate
inost[e],myo-inositol
12ppd_S[e],"(S)-propane-1,2-diol"
Tyr_ggn[e],Tyr-194 of apo-glycogenin protein (primer for glycogen synthesis)
glygn2[e],"glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]})"
glygn4[e],"glycogen, structure 4 (glycogenin-1,6-{2[1,4-Glc], [1,4-Glc]})"
glygn5[e],"glycogen, structure 5 (glycogenin-2[1,4-Glc])"
gthox[e],Oxidized glutathione
rmn[e],L-Rhamnose
strch1[e],"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})"
strch2[e],"starch, structure 2 (1,6-{2[1,4-Glc], [1,4-Glc]})"
chtbs[e],"N,N-diacetylchitobiose"
raffin[e],Raffinose
no[e],Nitric oxide
arabttr[e],Arabinotriose
ni2[e],nickel
chols[e],Choline sulfate
crn[e],L-Carnitine
diact[e],Diacetyl
cellb[e],cellobiose
din[e],Deoxyinosine
duri[e],Deoxyuridine
indole[e],Indole
actn_R[e],(R)-Acetoin
fuc1p_L[e],L-Fucose 1-phosphate
g6p[e],D-Glucose 6-phosphate
man6p[e],D-Mannose 6-phosphate
melib[e],Melibiose
3hphac[e],3-Hydroxyphenylacetate
amp[e],AMP
dgchol[e],glycochenodeoxycholate
fuc_L[e],L-fucose
gchola[e],glycocholate
lyx_L[e],L-Lyxose
pyr[e],pyruvate
tchola[e],taurocholic acid; taurocholate
tdchola[e],taurochenodeoxycholate
Ser_Thr[e],protein-linked serine or threonine residue (O-glycosylation site)
T_antigen[e],T antigen (core 1)
Tn_antigen[e],Tn antigen
acgal[e],N-acetyl-D-galactosamine
core2[e],Core 2
core3[e],Core 3
core4[e],Core 4
core5[e],Core 5
core6[e],Core 6
core7[e],Core 7
core8[e],Core 8
dsT_antigen[e],disialyl-T antigen
f1a[e],F1alpha
gncore1[e],"GlcNAc-alpha-1,4-Core 1"
gncore2[e],"GlcNAc-alpha-1,4-Core 2"
sT_antigen[e],sialyl-T antigen
sTn_antigen[e],sialyl-Tn antigen
galur[e],D-Galacturonate
glcur[e],D-glucuronate
gsn[e],Guanosine
isobut[e],"Isobutyrate, 2-Methylpropanoate"
isocapr[e],Isocaproate
isoval[e],"Isovalerate, 3-Methylbutanoate"
lanost[e],lanosterol
phenol[e],Phenol
inulin[e],"Chicory inulin, 30 monosaccharide units (29 fru, 1 glc) on average"
ispre[e],Isoprene
3dhcdchol[e],3-Dehydrochenodeoxycholate
3dhchol[e],3-Dehydrocholate
kesto[e],"Kestose (2 fru, 1 glc inulin-type fructo-oligosaccharide)"
kestopt[e],"Kestopentaose (4 fru, 1 glc inulin-type fructo-oligosaccharide)"
kestottr[e],"Kestotetraose (3 fru, 1 glc inulin-type fructo-oligosaccharide)"
12dhchol[e],12-Dehydrocholate
hom_L[e],L-homoserine
mobd[e],Molybdate
icit[e],Isocitrate
pime[e],Pimelate
sbt_L[e],L-Sorbitol (iMM904)
btd_RR[e],R_R__2_3_Butanediol
meoh[e],methanol
pect[e],pectins
acgalglcur[e],Dimer GalNAc-GlcA
acgalidour[e],Dimer GalNAc-IdoA
acgalidour2s[e],Dimer GalNAc-IdoA2S
arabinogal[e],"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000"
cspg_a[e],chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan
cspg_a_degr[e],Dimer GalNAc4S-GlcA
