Metabolite ID,Metabolites Names
_498_3_c_506_1_c_509_1_c_513_2_c_514_1_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_3_c_506_1_c_509_2_c_513_1_c_514_2_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_1_c_506_1_c_509_1_c_513_2_c_514_1_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_3_c_506_1_c_509_1_c_513_1_c_514_2_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_498_2_c_506_1_c_509_1_c_513_2_c_514_2_c,ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E
_10632_1_c,ATP5L
_4905_1_c,NSF
_10476_1_c,ATP5H
_9551_3_c,ATP5J2
_522_5_c,ATP5J
_516_2_c,ATP5G1
_521_1_c,ATP5I
_515_1_c,ATP5F1
_10476_1_c_10632_1_c_4905_1_c_498_1_c_506_1_c_509_1_c_513_2_c_514_2_c_515_1_c_516_2_c_521_1_c_522_5_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5A1:ATP5B:ATP5C1:ATP5D:ATP5E:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_518_3_c,ATP5G3
_515_2_c,ATP5F1
_10476_2_c,ATP5H
_522_3_c,ATP5J
_10476_2_c_10632_1_c_4905_1_c_515_2_c_518_3_c_521_1_c_522_3_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_517_2_c,ATP5G2
_9551_2_c,ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_517_2_c_521_1_c_522_3_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_518_2_c,ATP5G3
_10476_1_c_10632_1_c_4905_1_c_515_1_c_518_2_c_521_1_c_522_5_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_516_2_c_521_1_c_522_5_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_9551_1_c,ATP5J2
_522_4_c,ATP5J
_10476_2_c_10632_1_c_4905_1_c_515_2_c_518_3_c_521_1_c_522_4_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_522_2_c,ATP5J
_10476_1_c_10632_1_c_4905_1_c_515_2_c_518_2_c_521_1_c_522_2_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_515_3_c,ATP5F1
_10476_1_c_10632_1_c_4905_1_c_515_3_c_518_3_c_521_1_c_522_4_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_518_2_c_521_1_c_522_2_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_522_1_c,ATP5J
_10476_2_c_10632_1_c_4905_1_c_515_1_c_516_2_c_521_1_c_522_1_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_517_1_c,ATP5G2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_517_1_c_521_1_c_522_1_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_518_2_c_521_1_c_522_5_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_516_1_c,ATP5G1
_10476_2_c_10632_1_c_4905_1_c_515_2_c_516_1_c_521_1_c_522_3_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_518_2_c_521_1_c_522_4_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_518_2_c_521_1_c_522_5_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_516_2_c_521_1_c_522_3_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_516_1_c_521_1_c_522_3_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_518_2_c_521_1_c_522_5_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_518_2_c_521_1_c_522_3_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_517_1_c_521_1_c_522_4_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_518_2_c_521_1_c_522_1_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_517_2_c_521_1_c_522_2_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_517_1_c_521_1_c_522_4_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_518_3_c_521_1_c_522_4_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_518_2_c_521_1_c_522_1_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_517_2_c_521_1_c_522_5_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_516_2_c_521_1_c_522_3_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_518_3_c_521_1_c_522_1_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_516_1_c_521_1_c_522_1_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_516_2_c_521_1_c_522_2_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_518_1_c,ATP5G3
_10476_2_c_10632_1_c_4905_1_c_515_2_c_518_1_c_521_1_c_522_4_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_517_1_c_521_1_c_522_5_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_516_1_c_521_1_c_522_4_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_517_2_c_521_1_c_522_1_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_516_1_c_521_1_c_522_3_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_518_1_c_521_1_c_522_3_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_517_1_c_521_1_c_522_3_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_518_2_c_521_1_c_522_3_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_518_3_c_521_1_c_522_2_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_518_2_c_521_1_c_522_1_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_518_2_c_521_1_c_522_2_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_518_1_c_521_1_c_522_2_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_518_1_c_521_1_c_522_3_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_516_2_c_521_1_c_522_2_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_516_1_c_521_1_c_522_5_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_516_2_c_521_1_c_522_2_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_518_3_c_521_1_c_522_5_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_516_2_c_521_1_c_522_4_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_516_1_c_521_1_c_522_2_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_518_1_c_521_1_c_522_5_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_517_1_c_521_1_c_522_2_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_517_1_c_521_1_c_522_2_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_516_1_c_521_1_c_522_2_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_516_1_c_521_1_c_522_1_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_517_2_c_521_1_c_522_5_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_518_2_c_521_1_c_522_4_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_516_1_c_521_1_c_522_1_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_518_1_c_521_1_c_522_5_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_516_2_c_521_1_c_522_2_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_517_2_c_521_1_c_522_1_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_518_3_c_521_1_c_522_5_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_517_2_c_521_1_c_522_3_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_517_1_c_521_1_c_522_5_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_517_1_c_521_1_c_522_5_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_517_2_c_521_1_c_522_4_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_516_2_c_521_1_c_522_1_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_518_3_c_521_1_c_522_5_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_518_2_c_521_1_c_522_2_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_518_3_c_521_1_c_522_3_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_517_1_c_521_1_c_522_4_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_516_2_c_521_1_c_522_1_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_516_2_c_521_1_c_522_5_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_518_3_c_521_1_c_522_3_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_517_1_c_521_1_c_522_4_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_518_2_c_521_1_c_522_4_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_518_1_c_521_1_c_522_4_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_518_3_c_521_1_c_522_2_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_516_2_c_521_1_c_522_4_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_517_2_c_521_1_c_522_2_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_516_1_c_521_1_c_522_4_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_517_2_c_521_1_c_522_4_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_516_2_c_521_1_c_522_2_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_518_2_c_521_1_c_522_2_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_518_3_c_521_1_c_522_5_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_517_1_c_521_1_c_522_2_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_518_2_c_521_1_c_522_5_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_518_2_c_521_1_c_522_5_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_516_2_c_521_1_c_522_4_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_517_1_c_521_1_c_522_5_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_518_3_c_521_1_c_522_2_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_518_1_c_521_1_c_522_2_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_517_1_c_521_1_c_522_1_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_517_1_c_521_1_c_522_2_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_518_3_c_521_1_c_522_5_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_518_1_c_521_1_c_522_2_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_518_1_c_521_1_c_522_2_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_518_2_c_521_1_c_522_4_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_516_1_c_521_1_c_522_2_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_516_2_c_521_1_c_522_3_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_518_1_c_521_1_c_522_2_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_518_3_c_521_1_c_522_4_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_516_1_c_521_1_c_522_3_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_516_2_c_521_1_c_522_3_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_518_2_c_521_1_c_522_4_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_518_2_c_521_1_c_522_3_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_517_1_c_521_1_c_522_5_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_518_1_c_521_1_c_522_1_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_518_3_c_521_1_c_522_2_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_518_2_c_521_1_c_522_2_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_518_2_c_521_1_c_522_5_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_518_3_c_521_1_c_522_3_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_516_1_c_521_1_c_522_1_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_518_2_c_521_1_c_522_3_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_518_2_c_521_1_c_522_3_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_518_2_c_521_1_c_522_1_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_516_1_c_521_1_c_522_2_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_517_1_c_521_1_c_522_3_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_517_1_c_521_1_c_522_5_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_517_2_c_521_1_c_522_5_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_2_c_518_1_c_521_1_c_522_5_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_516_2_c_521_1_c_522_4_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_518_1_c_521_1_c_522_4_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_517_2_c_521_1_c_522_3_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_3_c_518_1_c_521_1_c_522_3_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_518_1_c_521_1_c_522_1_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_2_c_516_1_c_521_1_c_522_4_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_1_c_518_1_c_521_1_c_522_2_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G3:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_517_2_c_521_1_c_522_1_c_9551_1_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
_10476_2_c_10632_1_c_4905_1_c_515_1_c_516_2_c_521_1_c_522_4_c_9551_3_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G1:ATP5I:ATP5J:ATP5J2
_10476_1_c_10632_1_c_4905_1_c_515_3_c_517_1_c_521_1_c_522_3_c_9551_2_c,ATP5H:ATP5L:NSF:ATP5F1:ATP5G2:ATP5I:ATP5J:ATP5J2
