Metabolite Name,Metabolites IDs
"Kestopentaose (4 fru, 1 glc inulin-type fructo-oligosaccharide)",kestopt[e]
"Kestotetraose (3 fru, 1 glc inulin-type fructo-oligosaccharide)",kestottr[e]
12-Dehydrocholate,12dhchol[e]
L-homoserine,hom_L[e]
Molybdate,mobd[e]
Isocitrate,icit[e]
Pimelate,pime[e]
L-Sorbitol (iMM904),sbt_L[e]
R_R__2_3_Butanediol,btd_RR[e]
methanol,meoh[e]
pectins,pect[e]
Dimer GalNAc-GlcA,acgalglcur[e]
Dimer GalNAc-IdoA,acgalidour[e]
Dimer GalNAc-IdoA2S,acgalidour2s[e]
"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000",arabinogal[e]
chondroitin sulfate A (GalNAc4S-GlcA) proteoglycan,cspg_a[e]
Dimer GalNAc4S-GlcA,cspg_a_degr[e]
"Not degradable product CSABCPASE_A/B, Gal4S-Gal-Xyl-L-Ser-protein",cspg_ab_rest[e]
chondroitin sulfate B / dermatan sulfate (IdoA2S-GalNAc4S) proteoglycan,cspg_b[e]
Dimer GalNAc4S-IdoA2S,cspg_b_degr[e]
chondroitin sulfate C (GalNAc6S-GlcA) proteoglycan,cspg_c[e]
Dimer GalNAc6S-GlcA,cspg_c_degr[e]
"Not degradable product CSABCPASE_C, Gal6S-Gal-Xyl-L-Ser-protein",cspg_c_rest[e]
hyaluronan,ha[e]
hyaluronan degradation product 1,ha_deg1[e]
"hyaluronan biosynthesis, precursor 1",ha_pre1[e]
"Homogalacturonan, 100 galacturonate residues. Assumed to be methylated/ acetylated in every 5th residue. Citrus HG consists of 7... <Preview truncated at 128 characters>",homogal[e]
L-iduronate,idour[e]
"Pectic galactan (potato), gal: arab-L: rmn: galur = 78: 9: 4: 9 (www.megazyme.com). Assumed to consist of 100 sugars per macromo... <Preview truncated at 128 characters>",pecticgal[e]
"Potato rhamnogalacturonan I, MW assumed ~200000, 62 galur, 20 rmn, 12 gal, 3 arab-L, 1 xyl-D (www.megazyme.com, PMID: 16661590)",rhamnogalurI[e]
"Amylopectin, 900 repeat units",amylopect900[e]
"amylose (n=300 repeat units, alpha-1,4-glc)",amylose300[e]
"Arabinan, polymer of 1,5-a-L-linked arabinofuranose units substituted by 1,3 or 1,2 linked branches, MW ~ 15000 Da (REF: www.meg... <Preview truncated at 128 characters>",arabinan101[e]
"Arabinoxylan, 30 xyl_D, 18 arab_L, 3 gal, 3 glc_D",arabinoxyl[e]
beta-glucans,bglc[e]
"Dextran 40, 1,6-alpha-D-Glucan",dextran40[e]
"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed",galmannan[e]
"Glucosamine 2,6-sulfate",gam26s[e]
"Konjac glucomannan, MW 77,500 (PMID:17962981), Man:Glc ~ 2:1. -> 286 man, 143 glc_D",glcmannan[e]
heparan sulfate proteoglycan,hspg[e]
"Product 1 HEPARL1_e, IdoA-GlcN2,6diS-GlcA-GlcN2,3,6triS",hspg_degr_1[e]
"Product AS3TASE_HS2, GlcN2S-IdoA-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein)",hspg_degr_10[e]
"Product GAM2STASE_HS3, GlcN-IdoA-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein)",hspg_degr_11[e]
"Product GLCNACASE_HS2, GlcA-GlcNAc-IdoA-Gal-Gal-Xyl-L-Ser (protein)",hspg_degr_12[e]
"Product GLCAASE_HS, GlcNAc-IdoA-Gal-Gal-Xyl-L-Ser (protein)",hspg_degr_13[e]
"Product GLCNACASE_HS3, IdoA-Gal-Gal-Xyl-L-Ser (protein)",hspg_degr_14[e]
"Product IDOURASE_HS3, Gal-Gal-Xyl-L-Ser (protein)",hspg_degr_15[e]
"Product 2 HEPARL1_e, IdoA2S-GlcN2,6diS-IdoA2S-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)",hspg_degr_2[e]
"Product IDOURASE_HS1, GlcN2,6diS-GlcA-GlcN2,3,6triS",hspg_degr_3[e]
"Product AS6TASE_HS1, GlcN2S-GlcA-GlcN2,3diS",hspg_degr_4[e]
"Product AS3TASE_HS1, GlcN2S-GlcA-GlcN2S",hspg_degr_5[e]
"Product GAM2STASE_HS2, GlcN-GlcA-GlcN",hspg_degr_6[e]
"Product IS2TASE_HS1, IdoA-GlcN2,6diS-IdoA-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)",hspg_degr_7[e]
"Product IDOURASE_HS2, GlcN2,6diS-IdoA-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)",hspg_degr_8[e]
"Product AS6TASE_HS2, GlcN2S-IdoA-GlcNAc3S-GlcA-Gal-Gal-Xyl-L-Ser (protein)",hspg_degr_9[e]
"Undegradable product GALASE_HS, Xyl-L-Ser (protein)",hspg_rest[e]
"Levan, 1000 fructose units",levan1000[e]
Levanbiose,levanb[e]
Levantriose,levanttr[e]
Levantetraose,levantttr[e]
"Lichenin from Icelandic moss, 170 glucose residues. DOI: 10.1039/JR9570001951",lichn[e]
Laminaribiose,lmn2[e]
"laminarin (n=30 repeat units, beta -1,3 glc)",lmn30[e]
"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L",xyluglc[e]
trans-4-hydroxy-L-proline,4hpro_LT[e]
Isochenodeoxycholate,icdchol[e]
Isocholate,isochol[e]
"Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D",xylan[e]
2-o-methylfucose (rare sugar in rhamnogalacturonan II),2omfuc[e]
2-O-methylxylose (rare sugar in rhamnogalacturonan II),2omxyl[e]
3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II),3ddlhept[e]
Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II),acerA[e]
D-Apiose (rare sugar in rhamnogalacturonan II),apio_D[e]
3-Deoxy-D-manno-2-octulosonate,kdo[e]
"Alpha-mannan, yeast, has a MW of about 25000 (PMID: 5461381), equals ~ 140 mannose units. ID according to iMM904",mannan[e]
"Wine rhamnogalacturonan II, MW ~ 5-10 kDa, 37% galur, 16% rmn, 3% fuc-L, 11% arab-L, 6% gal, 5% glcur, 4% 2omfuc, 3% 2omxyl, 6% ... <Preview truncated at 128 characters>",rhamnogalurII[e]
dTTP,dttp[e]
N-acetyl-D-mannosamine,acmana[e]
5-Methyltetrahydrofolate,5mthf[e]
"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)",starch1200[e]
